
Timestamp: 2023-10-21 02:46:56.140931, User ID: 6440251423, Name: Tacitus, Username: None
Timestamp: 2023-10-21 05:04:49.969455, User ID: 1201046176, Name: N.W.S., Username: Nwsprofile
Timestamp: 2023-10-21 11:45:04.209443, User ID: 897656724, Name: Ekaterina, Username: unknown_artist_oyo
Timestamp: 2023-10-21 12:21:30.406422, User ID: 6742731848, Name: Tm, Username: None
Timestamp: 2023-10-22 02:40:11.223779, User ID: 6578265412, Name: Tujn, Username: None
Timestamp: 2023-10-22 02:40:11.244253, User ID: 6578265412, Name: Tujn, Username: None
Timestamp: 2023-10-22 05:22:20.186045, User ID: 942003207, Name: No_shape, Username: None
Timestamp: 2023-10-22 05:53:32.323615, User ID: 6445244234, Name: Ted, Username: None
Timestamp: 2023-10-22 07:29:37.041774, User ID: 6351186489, Name: Jim, Username: None
Timestamp: 2023-10-22 10:03:24.064552, User ID: 897656724, Name: Ekaterina, Username: unknown_artist_oyo
Timestamp: 2023-10-22 10:05:48.525829, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:48.571355, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:49.021107, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:49.065791, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:49.510511, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:49.569293, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:49.985598, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:50.089393, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:50.443352, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:50.569107, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 10:05:50.909476, User ID: 5219170173, Name: Gman, Username: GmanLives2
Timestamp: 2023-10-22 11:28:46.539508, User ID: 6801035302, Name: ???, Username: None
Timestamp: 2023-10-22 14:24:52.752423, User ID: 6530797493, Name: Tzu, Username: None
Timestamp: 2023-10-22 16:56:38.045222, User ID: 6957280035, Name: Trey, Username: None
Timestamp: 2023-10-23 01:03:40.767360, User ID: 2036165787, Name: Youri, Username: None
Timestamp: 2023-10-23 07:19:48.217040, User ID: 5934201757, Name: Frank, Username: None
Timestamp: 2023-10-23 07:44:22.025058, User ID: 5514522223, Name: Mitchell, Username: None
Timestamp: 2023-10-23 13:13:35.705861, User ID: 5370563647, Name: mikey, Username: None
Timestamp: 2023-10-24 03:11:25.755077, User ID: 5792305913, Name: Maik, Username: None
Timestamp: 2023-10-24 04:05:50.721934, User ID: 6762051536, Name: Stephen, Username: None
Timestamp: 2023-10-24 10:25:34.660620, User ID: 6755151196, Name: Jackaon, Username: None
Timestamp: 2023-10-25 02:12:30.546003, User ID: 1201046176, Name: N.W.S., Username: Nwsprofile
Timestamp: 2023-10-25 05:58:57.701252, User ID: 5324572896, Name: Aaron, Username: None
Timestamp: 2023-10-25 09:43:17.631860, User ID: 6801035302, Name: ???, Username: None
Timestamp: 2023-10-25 12:58:39.197323, User ID: 1563969434, Name: R, Username: Deftfy
Timestamp: 2023-10-25 13:04:31.180056, User ID: 6045062631, Name: E, Username: azegyetlen
Timestamp: 2023-10-25 16:39:44.248649, User ID: 6618203218, Name: Daniel, Username: None
Timestamp: 2023-10-25 16:39:44.300985, User ID: 6618203218, Name: Daniel, Username: None
Timestamp: 2023-10-25 23:34:48.670700, User ID: 6618203218, Name: Daniel, Username: None
Timestamp: 2023-10-26 02:51:05.433069, User ID: 5121701618, Name: Jay, Username: Projectzues37
Timestamp: 2023-10-26 12:12:39.959966, User ID: 897656724, Name: Ekaterina, Username: unknown_artist_oyo
Timestamp: 2023-10-26 12:12:40.009128, User ID: 897656724, Name: Ekaterina, Username: unknown_artist_oyo
Timestamp: 2023-10-26 12:12:43.369910, User ID: 1563969434, Name: R, Username: Deftfy
Timestamp: 2023-10-26 12:12:43.399039, User ID: 1563969434, Name: R, Username: Deftfy
Timestamp: 2023-10-26 13:56:37.985492, User ID: 1201046176, Name: N.W.S., Username: Nwsprofile
Timestamp: 2023-10-26 14:19:24.390749, User ID: 1201046176, Name: N.W.S., Username: Nwsprofile
Timestamp: 2023-10-26 14:32:58.065127, User ID: 2028737522, Name: L, Username: lortlort
Timestamp: 2023-10-26 15:28:01.480494, User ID: 6753915964, Name: Jon D, Username: None
Timestamp: 2023-10-26 15:49:07.559403, User ID: 6618203218, Name: Daniel, Username: None
Timestamp: 2023-10-27 04:57:39.648807, User ID: 6526035804, Name: Kai Walker, Username: None
Timestamp: 2023-10-27 09:15:33.660530, User ID: 6485357537, Name: Jimmy James, Username: None
Timestamp: 2023-10-27 09:57:46.760624, User ID: 6924157804, Name: Billy Black, Username: None
Timestamp: 2023-10-27 12:44:59.471647, User ID: 5422402726, Name: Pradeep Naga, Username: None
Timestamp: 2023-10-28 03:27:28.881948, User ID: 5149507991, Name: A A, Username: aygrant
Timestamp: 2023-10-28 03:29:01.748314, User ID: 6667414332, Name: Tony, Username: None
Timestamp: 2023-10-28 04:32:36.787433, User ID: 5149507991, Name: A A, Username: aygrant
Timestamp: 2023-10-28 07:45:27.262892, User ID: 1646270782, Name: Jim Bean, Username: None
Timestamp: 2023-10-28 08:34:21.856415, User ID: 6550453166, Name: Emmanuel, Username: None
Timestamp: 2023-10-28 12:44:13.874877, User ID: 6087941174, Name: Trill Whiteboy, Username: None
Timestamp: 2023-10-28 12:45:28.251964, User ID: 6766561365, Name: Ugh, Username: None
Timestamp: 2023-10-29 03:38:12.732124, User ID: 1020516317, Name: K ., Username: kmahri
Timestamp: 2023-10-30 21:43:07.228152, User ID: 5522439188, Name: pero peric, Username: None
Timestamp: 2023-10-31 09:41:33.545920, User ID: 6401323558, Name: A S, Username: None
